Shelf,Item,Color,FFTime,FFUse,FFDTime,FFDUse,SATime,SAUse,PSTime,PSUse,GATime,GAUse
750,300,2,0,58.15,0,55.79,159,65.01,14851,62.93,11542,62.08
750,300,2,0,64.95,0,58.42,158,69.47,14129,67.46,10901,66.81
750,300,2,0,63.34,0,59.19,136,73.27,13425,69.16,10088,68.81
750,300,2,0,58.11,0,54.31,187,63.97,15518,61.60,11887,60.48
750,300,7,0,82.21,0,67.27,104,86.48,10677,84.83,7870,83.77
750,300,7,0,74.21,2,65.11,123,79.33,12243,78.43,9178,77.11
750,300,7,0,75.16,0,69.05,108,82.45,11038,80.49,8188,80.02
750,300,7,0,74.61,0,65.79,112,82.95,11402,79.50,8229,79.03
750,300,7,0,78.24,0,70.75,96,87.50,10056,85.81,7481,84.71
750,300,15,0,83.45,0,70.67,110,86.58,10647,86.04,8178,85.51
750,300,15,0,72.25,1,65.02,122,81.76,11426,79.39,8556,78.47
750,300,15,0,74.34,0,68.80,115,80.39,11515,79.47,8558,79.47
750,300,15,0,75.94,0,70.26,103,86.44,10317,83.68,7899,82.12
750,300,15,0,81.70,0,70.21,94,87.54,10145,84.79,7584,84.26
750,500,2,0,62.41,0,58.71,390,68.40,30595,67.00,24879,66.02
750,500,2,0,59.97,0,55.77,408,66.39,32221,63.55,27072,62.49
750,500,2,0,60.38,1,57.61,413,67.21,32166,64.70,26206,64.89
750,500,2,1,59.65,0,55.46,416,65.67,32026,63.23,26323,62.87
750,500,2,0,61.71,1,56.81,427,66.75,32017,64.49,26707,63.60
750,500,7,0,76.38,0,67.30,262,82.99,22084,82.06,17622,81.45
750,500,7,0,76.61,2,69.63,278,81.52,23781,80.10,18527,79.82
750,500,7,0,76.84,1,68.33,329,81.38,24613,79.72,20216,78.91
750,500,7,0,71.04,0,63.39,322,76.90,25527,74.84,20639,74.59
750,500,7,0,77.16,0,68.30,291,82.21,23411,81.33,18914,80.17
750,500,15,0,74.63,0,65.30,303,78.54,24429,76.93,19232,77.72
750,500,15,1,81.89,0,73.46,240,88.21,21507,86.21,17562,85.25
750,500,15,0,74.48,0,66.92,287,78.94,24123,78.12,18739,77.58
750,500,15,0,77.65,0,67.59,279,83.12,22660,81.60,18674,80.43
750,500,15,0,78.75,0,70.97,271,82.12,22612,82.12,18688,81.25
1000,300,2,0,64.30,0,59.51,146,69.94,13602,68.87,10134,68.52
1000,300,2,0,64.36,0,57.54,141,69.64,13854,67.56,10514,66.24
1000,300,2,0,61.12,0,58.52,143,69.81,14146,67.08,11079,65.49
1000,300,2,0,59.26,0,55.78,163,67.05,14821,67.73,10786,66.71
1000,300,2,0,64.79,0,59.46,154,72.68,13886,69.02,11851,68.34
1000,300,7,1,75.51,0,68.40,116,82.74,11808,79.87,8628,78.51
1000,300,7,0,79.71,0,71.41,118,87.33,10102,85.69,7601,85.69
1000,300,7,0,77.90,0,65.50,104,85.48,10553,83.32,7749,82.80
1000,300,7,0,77.09,0,69.98,108,84.23,11047,82.20,8327,80.74
1000,300,7,0,74.28,0,67.26,117,79.99,11304,78.14,8510,77.25
1000,300,15,0,84.35,0,69.10,115,91.48,9768,88.97,7172,88.37
1000,300,15,0,74.23,0,64.77,105,82.58,10685,82.07,7952,80.57
1000,300,15,0,82.43,0,76.48,98,87.68,10014,86.58,7604,86.58
1000,300,15,0,81.37,0,70.31,124,88.61,9885,86.83,7360,85.68
1000,300,15,0,79.76,0,72.00,97,87.63,10103,86.49,7630,85.38
1000,500,2,0,60.64,1,57.06,437,67.67,31843,64.90,25569,64.15
1000,500,2,0,59.58,0,55.89,444,64.15,33543,62.90,27647,61.70
1000,500,2,0,64.46,1,60.31,348,72.84,27819,70.10,22902,69.67
1000,500,2,0,60.92,1,55.71,427,65.60,32018,63.90,26742,63.17
1000,500,2,0,60.18,1,57.41,399,68.44,30957,65.44,26302,65.44
1000,500,7,0,74.72,0,68.14,291,80.35,23783,79.49,19042,79.21
1000,500,7,0,70.03,0,63.78,325,76.05,25489,74.77,21006,73.52
1000,500,7,0,74.15,1,68.22,321,79.79,24925,77.64,20216,76.61
1000,500,7,0,74.42,0,66.59,310,81.04,24370,80.47,18482,80.76
1000,500,7,0,70.64,0,62.46,328,76.50,26101,73.94,21152,72.73
1000,500,15,1,76.50,0,67.27,274,84.40,22903,81.69,18742,80.82
1000,500,15,0,76.22,1,66.47,331,81.81,22744,80.63,18430,80.34
1000,500,15,1,76.18,0,66.86,283,83.26,22739,81.44,19120,80.56
1000,500,15,0,76.03,0,69.03,338,83.35,25323,81.83,19835,81.53
1000,500,15,0,75.85,0,67.52,335,80.83,25422,79.95,19746,78.81
